gene.id,gene.name,function
ENSG00000197894.10,ADH5,protein coding
ENSG00000198099.8,ADH4,protein coding
ENSG00000172955.17,ADH6,protein coding
ENSG00000187758.7,ADH1A,protein coding
ENSG00000196616.13,ADH1B,protein coding
ENSG00000248144.5,ADH1C,protein coding
ENSG00000196344.11,ADH7,protein coding
ENSG00000138813.9,C4orf17,protein coding
ENSG00000145331.13,TRMT10A,protein coding
ENSG00000138823.13,MTTP,protein coding
ENSG00000248713.1,RP11-766F14.2,protein coding
ENSG00000070190.12,DAPP1,protein coding
ENSG00000109270.12,LAMTOR3,protein coding
ENSG00000164031.16,DNAJB14,protein coding
ENSG00000164032.11,H2AFZ,protein coding
ENSG00000145358.6,DDIT4L,protein coding
ENSG00000164035.9,EMCN,protein coding
ENSG00000138814.16,PPP3CA,protein coding
ENSG00000153064.11,BANK1,protein coding
ENSG00000138821.12,SLC39A8,protein coding
ENSG00000109320.11,NFKB1,protein coding
ENSG00000109323.8,MANBA,protein coding
ENSG00000109332.19,UBE2D3,protein coding
ENSG00000145354.9,CISD2,protein coding
ENSG00000164037.16,SLC9B1,protein coding
ENSG00000164038.14,SLC9B2,protein coding
ENSG00000164039.14,BDH2,protein coding
ENSG00000138778.11,CENPE,protein coding
ENSG00000169836.4,TACR3,protein coding
ENSG00000168772.10,CXXC4,protein coding
ENSG00000168769.13,TET2,protein coding
ENSG00000138777.19,PPA2,protein coding
ENSG00000236699.8,ARHGEF38,protein coding
ENSG00000138785.14,INTS12,protein coding
ENSG00000138780.14,GSTCD,protein coding
ENSG00000168743.12,NPNT,protein coding
ENSG00000145348.16,TBCK,protein coding
ENSG00000164022.16,AIMP1,protein coding
ENSG00000250298.3,GIMD1,protein coding
ENSG00000155011.8,DKK2,protein coding
ENSG00000138801.8,PAPSS1,protein coding
ENSG00000164023.14,SGMS2,protein coding
ENSG00000155016.17,CYP2U1,protein coding
ENSG00000138796.16,HADH,protein coding
ENSG00000138795.9,LEF1,protein coding
ENSG00000109475.16,RPL34,protein coding
ENSG00000198856.12,OSTC,protein coding
ENSG00000164089.8,ETNPPL,protein coding
ENSG00000188517.14,COL25A1,protein coding
ENSG00000138802.11,SEC24B,protein coding
ENSG00000005059.15,MCUB,protein coding
ENSG00000138794.9,CASP6,protein coding
ENSG00000123739.10,PLA2G12A,protein coding
ENSG00000205403.12,CFI,protein coding
ENSG00000109534.16,GAR1,protein coding
ENSG00000180245.4,RRH,protein coding
ENSG00000183423.11,LRIT3,protein coding
ENSG00000138798.11,EGF,protein coding
ENSG00000170522.9,ELOVL6,protein coding
ENSG00000138792.9,ENPEP,protein coding
ENSG00000164093.15,PITX2,protein coding
ENSG00000174749.5,C4orf32,protein coding
ENSG00000138660.11,AP1AR,protein coding
ENSG00000145365.10,TIFA,protein coding
ENSG00000073331.17,ALPK1,protein coding
ENSG00000178403.3,NEUROG2,protein coding
ENSG00000138658.15,ZGRF1,protein coding
ENSG00000174720.15,LARP7,protein coding
ENSG00000145362.17,ANK2,protein coding
ENSG00000145349.16,CAMK2D,protein coding
ENSG00000180801.13,ARSJ,protein coding
ENSG00000174607.10,UGT8,protein coding
ENSG00000138653.9,NDST4,protein coding
ENSG00000270394.4,MTRNR2L13,protein coding
ENSG00000174599.5,TRAM1L1,protein coding
ENSG00000164100.8,NDST3,protein coding
ENSG00000164099.3,PRSS12,protein coding
ENSG00000145388.14,METTL14,protein coding
ENSG00000150961.14,SEC24D,protein coding
ENSG00000172403.10,SYNPO2,protein coding
ENSG00000172399.5,MYOZ2,protein coding
ENSG00000145390.11,USP53,protein coding
ENSG00000164096.12,C4orf3,protein coding
ENSG00000145384.3,FABP2,protein coding
ENSG00000138735.15,PDE5A,protein coding
ENSG00000164109.13,MAD2L1,protein coding
ENSG00000138738.10,PRDM5,protein coding
ENSG00000173376.13,NDNF,protein coding
ENSG00000050730.15,TNIP3,protein coding
ENSG00000186867.10,QRFPR,protein coding
ENSG00000164111.14,ANXA5,protein coding
ENSG00000164112.12,TMEM155,protein coding
ENSG00000123737.12,EXOSC9,protein coding
ENSG00000145386.9,CCNA2,protein coding
ENSG00000138686.9,BBS7,protein coding
ENSG00000138741.10,TRPC3,protein coding
ENSG00000138688.15,KIAA1109,protein coding
ENSG00000164113.10,ADAD1,protein coding
ENSG00000109471.4,IL2,protein coding
ENSG00000138684.7,IL21,protein coding
ENSG00000181004.9,BBS12,protein coding
ENSG00000138685.13,FGF2,protein coding
ENSG00000170917.13,NUDT6,protein coding
ENSG00000145375.7,SPATA5,protein coding
ENSG00000164056.10,SPRY1,protein coding
ENSG00000151458.11,ANKRD50,protein coding
ENSG00000196159.11,FAT4,protein coding
ENSG00000164066.12,INTU,protein coding
ENSG00000151475.5,SLC25A31,protein coding
ENSG00000164070.11,HSPA4L,protein coding
ENSG00000142731.10,PLK4,protein coding
ENSG00000164073.9,MFSD8,protein coding
ENSG00000164074.14,ABHD18,protein coding
ENSG00000138709.17,LARP1B,protein coding
ENSG00000164040.16,PGRMC2,protein coding
ENSG00000077684.15,JADE1,protein coding
ENSG00000151466.11,SCLT1,protein coding
ENSG00000151470.12,C4orf33,protein coding
ENSG00000138650.8,PCDH10,protein coding
ENSG00000254535.3,PABPC4L,protein coding
ENSG00000189184.11,PCDH18,protein coding
ENSG00000151012.13,SLC7A11,protein coding
ENSG00000151014.5,NOCT,protein coding
ENSG00000109381.19,ELF2,protein coding
ENSG00000137463.4,MGARP,protein coding
ENSG00000109390.11,NDUFC1,protein coding
ENSG00000164134.12,NAA15,protein coding
ENSG00000172007.5,RAB33B,protein coding
ENSG00000145391.13,SETD7,protein coding
ENSG00000085871.8,MGST2,protein coding
ENSG00000196782.12,MAML3,protein coding
ENSG00000153130.17,SCOC,protein coding
ENSG00000153132.12,CLGN,protein coding
ENSG00000205301.11,MGAT4D,protein coding
ENSG00000179387.9,ELMOD2,protein coding
ENSG00000109424.3,UCP1,protein coding
ENSG00000109436.7,TBC1D9,protein coding
ENSG00000170153.10,RNF150,protein coding
ENSG00000109445.10,ZNF330,protein coding
ENSG00000164136.16,IL15,protein coding
ENSG00000109452.12,INPP4B,protein coding
ENSG00000170185.9,USP38,protein coding
ENSG00000109458.8,GAB1,protein coding
ENSG00000153147.5,SMARCA5,protein coding
ENSG00000183090.5,FREM3,protein coding
ENSG00000197465.13,GYPE,protein coding
ENSG00000250361.7,GYPB,protein coding
ENSG00000170180.19,GYPA,protein coding
ENSG00000164161.9,HHIP,protein coding
ENSG00000164162.12,ANAPC10,protein coding
ENSG00000164163.10,ABCE1,protein coding
ENSG00000164164.15,OTUD4,protein coding
ENSG00000170365.9,SMAD1,protein coding
ENSG00000151611.13,MMAA,protein coding
ENSG00000237136.7,C4orf51,protein coding
ENSG00000151612.15,ZNF827,protein coding
ENSG00000164167.10,LSM6,protein coding
ENSG00000250673.2,RP11-6L6.2,protein coding
ENSG00000120519.14,SLC10A7,protein coding
ENSG00000151615.3,POU4F2,protein coding
ENSG00000137473.17,TTC29,protein coding
ENSG00000151617.15,EDNRA,protein coding
ENSG00000164168.7,TMEM184C,protein coding
ENSG00000164169.12,PRMT9,protein coding
ENSG00000071205.11,ARHGAP10,protein coding
ENSG00000151623.14,NR3C2,protein coding
ENSG00000234828.8,RP11-526A4.1,protein coding
ENSG00000170390.15,DCLK2,protein coding
ENSG00000198589.10,LRBA,protein coding
ENSG00000181541.5,MAB21L2,protein coding
ENSG00000145425.9,RPS3A,protein coding
ENSG00000109686.17,SH3D19,protein coding
ENSG00000189099.11,PRSS48,protein coding
ENSG00000164142.15,FAM160A1,protein coding
ENSG00000059691.11,GATB,protein coding
ENSG00000109670.13,FBXW7,protein coding
ENSG00000170006.11,TMEM154,protein coding
ENSG00000169989.2,TIGD4,protein coding
ENSG00000164144.15,ARFIP1,protein coding
ENSG00000137460.8,FHDC1,protein coding
ENSG00000109654.14,TRIM2,protein coding
ENSG00000121211.7,MND1,protein coding
ENSG00000121210.15,KIAA0922,protein coding
ENSG00000137462.6,TLR2,protein coding
ENSG00000145428.14,RNF175,protein coding
ENSG00000145423.4,SFRP2,protein coding
ENSG00000197410.12,DCHS2,protein coding
ENSG00000171566.11,PLRG1,protein coding
ENSG00000171564.11,FGB,protein coding
ENSG00000171560.14,FGA,protein coding
ENSG00000171557.16,FGG,protein coding
ENSG00000121207.11,LRAT,protein coding
ENSG00000151962.7,RBM46,protein coding
ENSG00000185149.5,NPY2R,protein coding
ENSG00000164114.18,MAP9,protein coding
ENSG00000164116.16,GUCY1A3,protein coding
ENSG00000061918.12,GUCY1B3,protein coding
ENSG00000256394.2,ASIC5,protein coding
ENSG00000151790.8,TDO2,protein coding
ENSG00000256043.2,CTSO,protein coding
ENSG00000145431.10,PDGFC,protein coding
ENSG00000109738.10,GLRB,protein coding
ENSG00000120251.18,GRIA2,protein coding
ENSG00000164125.15,FAM198B,protein coding
ENSG00000164124.10,TMEM144,protein coding
ENSG00000171509.15,RXFP1,protein coding
ENSG00000205208.4,C4orf46,protein coding
ENSG00000171503.11,ETFDH,protein coding
ENSG00000171497.4,PPID,protein coding
ENSG00000052795.12,FNIP2,protein coding
ENSG00000164123.6,C4orf45,protein coding
ENSG00000109756.8,RAPGEF2,protein coding
ENSG00000168843.13,FSTL5,protein coding
ENSG00000145414.8,NAF1,protein coding
ENSG00000164128.6,NPY1R,protein coding
ENSG00000164129.11,NPY5R,protein coding
ENSG00000151005.4,TKTL2,protein coding
ENSG00000198498.9,TMA16,protein coding
ENSG00000145416.13,1-Mar,protein coding
ENSG00000248771.5,LINC01207,protein coding
ENSG00000248329.5,APELA,protein coding
ENSG00000183439.7,TRIM61,protein coding
ENSG00000250486.3,FAM218A,protein coding
ENSG00000176979.12,TRIM60,protein coding
ENSG00000250374.3,TRIM75P,protein coding
ENSG00000170088.13,TMEM192,protein coding
ENSG00000109466.13,KLHL2,protein coding
ENSG00000229894.4,GK3P,protein coding
ENSG00000052802.12,MSMO1,protein coding
ENSG00000109472.13,CPE,protein coding
ENSG00000038295.7,TLL1,protein coding
ENSG00000196104.10,SPOCK3,protein coding
ENSG00000109511.11,ANXA10,protein coding
ENSG00000137628.16,DDX60,protein coding
ENSG00000181381.13,DDX60L,protein coding
ENSG00000129116.17,PALLD,protein coding
ENSG00000145439.11,CBR4,protein coding
ENSG00000154447.14,SH3RF1,protein coding
ENSG00000137601.16,NEK1,protein coding
ENSG00000109572.13,CLCN3,protein coding
ENSG00000056050.6,HPF1,protein coding
ENSG00000198948.11,MFAP3L,protein coding
ENSG00000109576.13,AADAT,protein coding
ENSG00000174473.15,GALNTL6,protein coding
ENSG00000109586.11,GALNT7,protein coding
ENSG00000164104.11,HMGB2,protein coding
ENSG00000164105.3,SAP30,protein coding
ENSG00000164106.7,SCRG1,protein coding
ENSG00000164107.8,HAND2,protein coding
ENSG00000164117.13,FBXO8,protein coding
ENSG00000164118.12,CEP44,protein coding
ENSG00000164120.13,HPGD,protein coding
ENSG00000145451.12,GLRA3,protein coding
ENSG00000168594.15,ADAM29,protein coding
ENSG00000150625.16,GPM6A,protein coding
ENSG00000150627.15,WDR17,protein coding
ENSG00000150628.6,SPATA4,protein coding
ENSG00000164122.8,ASB5,protein coding
ENSG00000129128.12,SPCS3,protein coding
ENSG00000150630.3,VEGFC,protein coding
ENSG00000109674.3,NEIL3,protein coding
ENSG00000038002.8,AGA,protein coding
ENSG00000218336.8,TENM3,protein coding
ENSG00000129187.14,DCTD,protein coding
ENSG00000151718.15,WWC2,protein coding
ENSG00000185758.8,CLDN24,protein coding
ENSG00000168564.5,CDKN2AIP,protein coding
ENSG00000168556.6,ING2,protein coding
ENSG00000182552.14,RWDD4,protein coding
ENSG00000168538.15,TRAPPC11,protein coding
ENSG00000173320.11,STOX2,protein coding
ENSG00000164303.10,ENPP6,protein coding
ENSG00000168310.10,IRF2,protein coding
ENSG00000164305.18,CASP3,protein coding
ENSG00000164306.10,PRIMPOL,protein coding
ENSG00000151725.11,CENPU,protein coding
ENSG00000151726.13,ACSL1,protein coding
ENSG00000187821.8,HELT,protein coding
ENSG00000151729.10,SLC25A4,protein coding
ENSG00000164323.12,CFAP97,protein coding
ENSG00000109762.15,SNX25,protein coding
ENSG00000109771.15,LRP2BP,protein coding
ENSG00000186352.8,ANKRD37,protein coding
ENSG00000109775.10,UFSP2,protein coding
ENSG00000205129.8,C4orf47,protein coding
ENSG00000168491.9,CCDC110,protein coding
ENSG00000154553.13,PDLIM3,protein coding
ENSG00000154556.17,SORBS2,protein coding
ENSG00000164342.12,TLR3,protein coding
ENSG00000109794.13,FAM149A,protein coding
ENSG00000145476.15,CYP4V2,protein coding
ENSG00000164344.15,KLKB1,protein coding
ENSG00000088926.13,F11,protein coding
ENSG00000168412.6,MTNR1A,protein coding
ENSG00000083857.13,FAT1,protein coding
ENSG00000179059.9,ZFP42,protein coding
ENSG00000179046.8,TRIML2,protein coding
ENSG00000184108.7,TRIML1,protein coding
ENSG00000109536.11,FRG1,protein coding
ENSG00000205097.6,FRG2,protein coding
ENSG00000260596.5,DUX4,protein coding
ENSG00000153404.14,PLEKHG4B,protein coding
ENSG00000185028.3,LRRC14B,protein coding
ENSG00000164366.3,CCDC127,protein coding
ENSG00000073578.16,SDHA,protein coding
ENSG00000249915.7,PDCD6,protein coding
ENSG00000063438.16,AHRR,protein coding
ENSG00000180104.15,EXOC3,protein coding
ENSG00000066230.10,SLC9A3,protein coding
ENSG00000112877.7,CEP72,protein coding
ENSG00000171368.11,TPPP,protein coding
ENSG00000206077.10,ZDHHC11B,protein coding
ENSG00000188818.12,ZDHHC11,protein coding
ENSG00000028310.17,BRD9,protein coding
ENSG00000071539.13,TRIP13,protein coding
ENSG00000145506.13,NKD2,protein coding
ENSG00000113504.20,SLC12A7,protein coding
ENSG00000174358.15,SLC6A19,protein coding
ENSG00000164363.9,SLC6A18,protein coding
ENSG00000164362.18,TERT,protein coding
ENSG00000049656.13,CLPTM1L,protein coding
ENSG00000142319.17,SLC6A3,protein coding
ENSG00000153395.9,LPCAT1,protein coding
ENSG00000171421.12,MRPL36,protein coding
ENSG00000145494.11,NDUFS6,protein coding
ENSG00000113430.9,IRX4,protein coding
ENSG00000170561.12,IRX2,protein coding
ENSG00000186493.11,C5orf38,protein coding
ENSG00000170549.3,IRX1,protein coding
ENSG00000145536.15,ADAMTS16,protein coding
ENSG00000164151.11,ICE1,protein coding
ENSG00000133398.3,MED10,protein coding
ENSG00000215218.3,UBE2QL1,protein coding
ENSG00000037474.14,NSUN2,protein coding
ENSG00000145545.11,SRD5A1,protein coding
ENSG00000112941.13,PAPD7,protein coding
ENSG00000078295.16,ADCY2,protein coding
ENSG00000215217.6,C5orf49,protein coding
ENSG00000124275.14,MTRR,protein coding
ENSG00000124279.11,FASTKD3,protein coding
ENSG00000112902.11,SEMA5A,protein coding
ENSG00000169777.6,TAS2R1,protein coding
ENSG00000150756.13,FAM173B,protein coding
ENSG00000150753.11,CCT5,protein coding
ENSG00000164237.8,CMBL,protein coding
ENSG00000145495.15,6-Mar,protein coding
ENSG00000145491.11,ROPN1L,protein coding
ENSG00000164236.11,ANKRD33B,protein coding
ENSG00000112977.15,DAP,protein coding
ENSG00000169862.18,CTNND2,protein coding
ENSG00000039139.9,DNAH5,protein coding
ENSG00000038382.18,TRIO,protein coding
ENSG00000145569.5,FAM105A,protein coding
ENSG00000154124.4,OTULIN,protein coding
ENSG00000154122.12,ANKH,protein coding
ENSG00000183580.9,FBXL7,protein coding
ENSG00000183654.8,11-Mar,protein coding
ENSG00000173545.4,ZNF622,protein coding
ENSG00000154153.13,FAM134B,protein coding
ENSG00000145555.14,MYO10,protein coding
ENSG00000176788.8,BASP1,protein coding
ENSG00000284552.1,RP11-321E2.5,protein coding
ENSG00000284373.1,RP11-321E2.6,protein coding
ENSG00000284439.1,RP11-321E2.2,protein coding
ENSG00000284283.1,RP11-321E2.7,protein coding
ENSG00000284234.1,RP11-321E2.8,protein coding
ENSG00000284042.1,RP11-321E2.9,protein coding
ENSG00000284465.1,RP11-432M8.2,protein coding
ENSG00000283967.1,RP11-432M8.3,protein coding
ENSG00000283988.1,RP11-432M8.4,protein coding
ENSG00000284356.1,RP11-432M8.5,protein coding
ENSG00000283740.1,RP11-432M8.22,protein coding
ENSG00000249156.2,RP11-432M8.9,protein coding
ENSG00000283776.1,RP11-432M8.12,protein coding
ENSG00000250782.1,RP11-432M8.13,protein coding
ENSG00000145526.11,CDH18,protein coding
ENSG00000154162.14,CDH12,protein coding
ENSG00000164256.10,PRDM9,protein coding
ENSG00000040731.10,CDH10,protein coding
ENSG00000113100.9,CDH9,protein coding
ENSG00000113361.12,CDH6,protein coding
ENSG00000113360.16,DROSHA,protein coding
ENSG00000082213.17,C5orf22,protein coding
ENSG00000133401.15,PDZD2,protein coding
ENSG00000113384.13,GOLPH3,protein coding
ENSG00000150712.10,MTMR12,protein coding
ENSG00000056097.15,ZFR,protein coding
ENSG00000113387.11,SUB1,protein coding
ENSG00000113389.15,NPR3,protein coding
ENSG00000113407.13,TARS,protein coding
ENSG00000151388.10,ADAMTS12,protein coding
ENSG00000182631.6,RXFP3,protein coding
ENSG00000164175.14,SLC45A2,protein coding
ENSG00000242110.7,AMACR,protein coding
ENSG00000082196.20,C1QTNF3,protein coding
ENSG00000039560.13,RAI14,protein coding
ENSG00000205838.13,TTC23L,protein coding
ENSG00000113456.18,RAD1,protein coding
ENSG00000113460.12,BRIX1,protein coding
ENSG00000168724.14,DNAJC21,protein coding
ENSG00000113492.13,AGXT2,protein coding
ENSG00000113494.16,PRLR,protein coding
ENSG00000152582.13,SPEF2,protein coding
ENSG00000168685.14,IL7R,protein coding
ENSG00000152611.11,CAPSL,protein coding
ENSG00000145626.11,UGT3A1,protein coding
ENSG00000168671.9,UGT3A2,protein coding
ENSG00000164187.6,LMBRD2,protein coding
ENSG00000145604.15,SKP2,protein coding
ENSG00000152620.12,NADK2,protein coding
ENSG00000164188.8,RANBP3L,protein coding
ENSG00000079215.13,SLC1A3,protein coding
ENSG00000164190.17,NIPBL,protein coding
ENSG00000197603.13,C5orf42,protein coding
ENSG00000113569.15,NUP155,protein coding
ENSG00000082068.8,WDR70,protein coding
ENSG00000168621.14,GDNF,protein coding
ENSG00000164318.17,EGFLAM,protein coding
ENSG00000113594.9,LIFR,protein coding
ENSG00000145623.12,OSMR,protein coding
ENSG00000164327.12,RICTOR,protein coding
ENSG00000082074.15,FYB,protein coding
ENSG00000113600.10,C9,protein coding
ENSG00000153071.14,DAB2,protein coding
ENSG00000113638.13,TTC33,protein coding
ENSG00000171522.5,PTGER4,protein coding
ENSG00000132356.11,PRKAA1,protein coding
ENSG00000145592.13,RPL37,protein coding
ENSG00000132357.13,CARD6,protein coding
ENSG00000112936.18,C7,protein coding
ENSG00000171495.16,MROH2B,protein coding
ENSG00000039537.13,C6,protein coding
ENSG00000182836.9,PLCXD3,protein coding
ENSG00000083720.12,OXCT1,protein coding
ENSG00000205765.8,C5orf51,protein coding
ENSG00000151876.12,FBXO4,protein coding
ENSG00000112964.13,GHR,protein coding
ENSG00000198865.9,CCDC152,protein coding
ENSG00000250722.5,SELENOP,protein coding
ENSG00000177721.4,ANXA2R,protein coding
ENSG00000172262.11,ZNF131,protein coding
ENSG00000177453.7,NIM1K,protein coding
ENSG00000112972.14,HMGCS1,protein coding
ENSG00000151882.11,CCL28,protein coding
ENSG00000151881.14,TMEM267,protein coding
ENSG00000172244.8,C5orf34,protein coding
ENSG00000172239.13,PAIP1,protein coding
ENSG00000112992.16,NNT,protein coding
ENSG00000070193.4,FGF10,protein coding
ENSG00000112996.10,MRPS30,protein coding
ENSG00000164588.6,HCN1,protein coding
ENSG00000170571.11,EMB,protein coding
ENSG00000151883.17,PARP8,protein coding
ENSG00000016082.14,ISL1,protein coding
ENSG00000213949.8,ITGA1,protein coding
ENSG00000152684.10,PELO,protein coding
ENSG00000164171.10,ITGA2,protein coding
ENSG00000164172.18,MOCS2,protein coding
ENSG00000134363.11,FST,protein coding
ENSG00000164258.11,NDUFS4,protein coding
ENSG00000185305.10,ARL15,protein coding
ENSG00000169271.2,HSPB3,protein coding
ENSG00000178996.13,SNX18,protein coding
ENSG00000164283.12,ESM1,protein coding
ENSG00000113088.5,GZMK,protein coding
ENSG00000145649.7,GZMA,protein coding
ENSG00000164287.12,CDC20B,protein coding
ENSG00000164294.13,GPX8,protein coding
ENSG00000234602.7,MCIDAS,protein coding
ENSG00000152669.8,CCNO,protein coding
ENSG00000067248.9,DHX29,protein coding
ENSG00000039123.15,SKIV2L2,protein coding
ENSG00000067113.16,PLPP1,protein coding
ENSG00000177058.11,SLC38A9,protein coding
ENSG00000152670.18,DDX4,protein coding
ENSG00000164509.13,IL31RA,protein coding
ENSG00000134352.19,IL6ST,protein coding
ENSG00000164512.17,ANKRD55,protein coding
ENSG00000225940.5,C5orf67,protein coding
ENSG00000095015.5,MAP3K1,protein coding
ENSG00000155542.11,SETD9,protein coding
ENSG00000155545.19,MIER3,protein coding
ENSG00000062194.15,GPBP1,protein coding
ENSG00000169067.3,ACTBL2,protein coding
ENSG00000145632.14,PLK2,protein coding
ENSG00000175857.8,GAPT,protein coding
ENSG00000152932.7,RAB3C,protein coding
ENSG00000113448.18,PDE4D,protein coding
ENSG00000035499.12,DEPDC1B,protein coding
ENSG00000164181.13,ELOVL7,protein coding
ENSG00000049167.13,ERCC8,protein coding
ENSG00000164182.10,NDUFAF2,protein coding
ENSG00000188725.7,SMIM15,protein coding
ENSG00000130449.5,ZSWIM6,protein coding
ENSG00000068796.16,KIF2A,protein coding
ENSG00000086189.9,DIMT1,protein coding
ENSG00000086200.16,IPO11,protein coding
ENSG00000186105.7,LRRC70,protein coding
ENSG00000178394.4,HTR1A,protein coding
ENSG00000164197.11,RNF180,protein coding
ENSG00000186479.4,RGS7BP,protein coding
ENSG00000145642.11,FAM159B,protein coding
ENSG00000153006.15,SREK1IP1,protein coding
ENSG00000153015.15,CWC27,protein coding
ENSG00000049192.14,ADAMTS6,protein coding
ENSG00000123219.12,CENPK,protein coding
ENSG00000113593.11,PPWD1,protein coding
ENSG00000113595.14,TRIM23,protein coding
ENSG00000113597.17,TRAPPC13,protein coding
ENSG00000253251.2,CTC-534A2.2,protein coding
ENSG00000197860.9,SGTB,protein coding
ENSG00000123213.22,NLN,protein coding
ENSG00000112851.14,ERBIN,protein coding
ENSG00000153914.15,SREK1,protein coding
ENSG00000069020.18,MAST4,protein coding
ENSG00000134061.5,CD180,protein coding
ENSG00000145675.14,PIK3R1,protein coding
ENSG00000145740.18,SLC30A5,protein coding
ENSG00000134057.14,CCNB1,protein coding
ENSG00000153044.9,CENPH,protein coding
ENSG00000134056.11,MRPS36,protein coding
ENSG00000134058.11,CDK7,protein coding
ENSG00000183323.12,CCDC125,protein coding
ENSG00000085231.13,AK6,protein coding
ENSG00000273841.4,TAF9,protein coding
ENSG00000152942.18,RAD17,protein coding
ENSG00000152939.14,MARVELD2,protein coding
ENSG00000197822.10,OCLN,protein coding
ENSG00000183474.15,GTF2H2C,protein coding
ENSG00000205572.9,SERF1B,protein coding
ENSG00000205571.13,SMN2,protein coding
ENSG00000172058.15,SERF1A,protein coding
ENSG00000172062.16,SMN1,protein coding
ENSG00000249437.7,NAIP,protein coding
ENSG00000145736.14,GTF2H2,protein coding
ENSG00000145734.18,BDP1,protein coding
ENSG00000131844.15,MCCC2,protein coding
ENSG00000164326.4,CARTPT,protein coding
ENSG00000131711.14,MAP1B,protein coding
ENSG00000113048.16,MRPS27,protein coding
ENSG00000049883.14,PTCD2,protein coding
ENSG00000178175.11,ZNF366,protein coding
ENSG00000083312.17,TNPO1,protein coding
ENSG00000157107.13,FCHO2,protein coding
ENSG00000157111.12,TMEM171,protein coding
ENSG00000164325.7,TMEM174,protein coding
ENSG00000251493.4,FOXD1,protein coding
ENSG00000145741.15,BTF3,protein coding
ENSG00000164331.9,ANKRA2,protein coding
ENSG00000164338.9,UTP15,protein coding
ENSG00000214944.9,ARHGEF28,protein coding
ENSG00000171617.13,ENC1,protein coding
ENSG00000049860.13,HEXB,protein coding
ENSG00000164347.17,GFM2,protein coding
ENSG00000164346.9,NSA2,protein coding
ENSG00000198780.11,FAM169A,protein coding
ENSG00000176928.5,GCNT4,protein coding
ENSG00000145700.9,ANKRD31,protein coding
ENSG00000113161.15,HMGCR,protein coding
ENSG00000113163.15,COL4A3BP,protein coding
ENSG00000122008.15,POLK,protein coding
ENSG00000189045.13,ANKDD1B,protein coding
ENSG00000152359.14,POC5,protein coding
ENSG00000122012.13,SV2C,protein coding
ENSG00000254893.5,AC113404.1,protein coding
ENSG00000145703.15,IQGAP2,protein coding
ENSG00000164220.6,F2RL2,protein coding
ENSG00000181104.6,F2R,protein coding
ENSG00000164251.4,F2RL1,protein coding
ENSG00000171643.13,S100Z,protein coding
ENSG00000145708.10,CRHBP,protein coding
ENSG00000164252.12,AGGF1,protein coding
ENSG00000132846.5,ZBED3,protein coding
ENSG00000113231.13,PDE8B,protein coding
ENSG00000164253.13,WDR41,protein coding
ENSG00000171540.7,OTP,protein coding
ENSG00000171530.13,TBCA,protein coding
ENSG00000132842.13,AP3B1,protein coding
ENSG00000085365.17,SCAMP1,protein coding
ENSG00000145685.13,LHFPL2,protein coding
ENSG00000113273.15,ARSB,protein coding
ENSG00000132837.14,DMGDH,protein coding
ENSG00000132840.9,BHMT2,protein coding
ENSG00000145692.14,BHMT,protein coding
ENSG00000152409.8,JMY,protein coding
ENSG00000152413.14,HOMER1,protein coding
ENSG00000164329.13,PAPD4,protein coding
ENSG00000164309.14,CMYA5,protein coding
ENSG00000177034.14,MTX3,protein coding
ENSG00000113296.14,THBS4,protein coding
ENSG00000164300.16,SERINC5,protein coding
ENSG00000164299.6,SPZ1,protein coding
ENSG00000039319.16,ZFYVE16,protein coding
ENSG00000152380.9,FAM151B,protein coding
ENSG00000189127.7,ANKRD34B,protein coding
ENSG00000228716.6,DHFR,protein coding
ENSG00000113318.9,MSH3,protein coding
ENSG00000113319.12,RASGRF2,protein coding
ENSG00000131730.15,CKMT2,protein coding
ENSG00000131732.11,ZCCHC9,protein coding
ENSG00000172497.8,ACOT12,protein coding
ENSG00000145687.16,SSBP2,protein coding
ENSG00000152348.15,ATG10,protein coding
ENSG00000186468.12,RPS23,protein coding
ENSG00000205464.11,ATP6AP1L,protein coding
ENSG00000174695.9,TMEM167A,protein coding
ENSG00000152422.15,XRCC4,protein coding
ENSG00000038427.15,VCAN,protein coding
ENSG00000145681.10,HAPLN1,protein coding
ENSG00000164176.12,EDIL3,protein coding
ENSG00000127184.12,COX7C,protein coding
ENSG00000145715.14,RASA1,protein coding
ENSG00000134480.13,CCNH,protein coding
ENSG00000164180.13,TMEM161B,protein coding
ENSG00000081189.15,MEF2C,protein coding
ENSG00000153140.8,CETN3,protein coding
ENSG00000176055.9,MBLAC2,protein coding
ENSG00000113356.11,POLR3G,protein coding
ENSG00000176018.12,LYSMD3,protein coding
ENSG00000164199.16,ADGRV1,protein coding
ENSG00000113369.8,ARRDC3,protein coding
ENSG00000175745.11,NR2F1,protein coding
ENSG00000113391.18,FAM172A,protein coding
ENSG00000248483.6,POU5F2,protein coding
ENSG00000185261.14,KIAA0825,protein coding
ENSG00000133302.12,SLF1,protein coding
ENSG00000175471.19,MCTP1,protein coding
ENSG00000153347.9,FAM81B,protein coding
ENSG00000198677.10,TTC37,protein coding
ENSG00000164291.16,ARSK,protein coding
ENSG00000178015.4,GPR150,protein coding
ENSG00000175449.13,RFESD,protein coding
ENSG00000145757.15,SPATA9,protein coding
ENSG00000164292.12,RHOBTB3,protein coding
ENSG00000173221.13,GLRX,protein coding
ENSG00000118985.15,ELL2,protein coding
ENSG00000175426.10,PCSK1,protein coding
